rodada,time,pontos
1,Sons of Númenor,78.16
1,Ironverdict,73.20
1,Icebergteam,72.96
1,Andorinha Jr,69.05
1,Andorinha,68.66
1,CEEC,67.86
1,Varelitas,67.70
1,Otopatamá,66.76
1,Lobonegro,25.02
2,Icebergteam,82.90
2,Lobonegro,79.48
2,Ironverdict,76.10
2,Sons of Númenor,73.30
2,CEEC,73.10
2,Otopatamá,72.58
2,Andorinha Jr,68.38
2,Andorinha,63.28
2,Varelitas,63.10
3,Ironverdict,95.16
3,Andorinha Jr,93.16
3,Andorinha,91.66
3,Lobonegro,89.46
3,CEEC,87.16
3,Icebergteam,82.66
3,Otopatamá,81.06
3,Sons of Númenor,74.36
3,Varelitas,65.54
4,Andorinha,103.45
4,CEEC,95.85
4,Andorinha Jr,92.15
4,Icebergteam,87.05
4,Otopatamá,84.35
4,Ironverdict,77.73
4,Lobonegro,76.13
4,Sons of Númenor,64.65
4,Varelitas,37.94
5,Otopatamá,95.57
5,Andorinha,89.52
5,Varelitas,89.10
5,Sons of Númenor,85.87
5,Andorinha Jr,85.02
5,CEEC,81.97
5,Ironverdict,73.07
5,Lobonegro,69.87
5,Icebergteam,67.66
6,Sons of Númenor,79.11
6,Icebergteam,72.51
6,CEEC,69.21
6,Varelitas,63.81
6,Lobonegro,60.16
6,Andorinha Jr,59.62
6,Andorinha,58.22
6,Otopatamá,54.85
6,Ironverdict,48.11
7,CEEC,91.57
7,Sons of Númenor,86.07
7,Otopatamá,75.37
7,Andorinha Jr,74.36
7,Andorinha,74.36
7,Ironverdict,70.97
7,Lobonegro,68.87
7,Icebergteam,57.97
7,Varelitas,56.57
8,Ironverdict,83.20
8,Andorinha,81.35
8,Lobonegro,80.92
8,Sons of Númenor,78.15
8,Otopatamá,76.95
8,Icebergteam,75.05
8,Varelitas,73.52
8,Andorinha Jr,73.35
8,CEEC,72.55
9,Icebergteam,102.24
9,Lobonegro,100.08
9,CEEC,89.78
9,Sons of Númenor,87.28
9,Otopatamá,82.98
9,Ironverdict,76.78
9,Varelitas,70.88
9,Andorinha Jr,65.24
9,Andorinha,65.24
10,Andorinha Jr,62.57
10,Ironverdict,61.25
10,Sons of Númenor,56.27
10,Icebergteam,49.37
10,Varelitas,49.17
10,Otopatamá,47.77
10,CEEC,44.67
10,Lobonegro,38.17
10,Andorinha,36.17
11,Ironverdict,114.76
11,Sons of Númenor,114.16
11,Andorinha Jr,107.86
11,Lobonegro,99.66
11,Andorinha,96.86
11,Otopatamá,93.06
11,CEEC,93.06
11,Icebergteam,85.91
11,Varelitas,82.76
12,Lobonegro,90.80
12,Sons of Númenor,86.00
12,Ironverdict,82.90
12,Otopatamá,79.05
12,Varelitas,77.55
12,Andorinha,76.40
12,Icebergteam,76.20
12,Andorinha Jr,74.40
12,CEEC,60.20
13,Ironverdict,131.89
13,Icebergteam,118.69
13,Otopatamá,116.19
13,Sons of Númenor,113.49
13,CEEC,112.99
13,Lobonegro,103.79
13,Andorinha Jr,98.39
13,Andorinha,90.89
13,Varelitas,82.14
14,Icebergteam,71.38
14,Otopatamá,68.08
14,CEEC,67.08
14,Ironverdict,63.18
14,Andorinha Jr,58.50
14,Andorinha,58.50
14,Sons of Númenor,57.99
14,Lobonegro,51.69
14,Varelitas,46.1415,Andorinha,61.00
15,Andorinha Jr,56.40
15,Lobonegro,56.22
15,Ironverdict,54.92
15,CEEC,53.50
15,Varelitas,53.30
15,Icebergteam,53.05
15,Sons of Númenor,47.55
15,Otopatamá,41.45


